animal_type,category,suburb,date_range
Cat Trapping,Fox,KEPERRA,january march 2016
Attack,Attack On An Animal,BULIMBA,january march 2016
Cat,Fox,DREWVALE,january march 2016
Cat,Fox,TINGALPA,january march 2016
Cat,Fox,DREWVALE,january march 2016
Dog,Defecating In Public,GREENSLOPES,january march 2016
Cat,Fox,DREWVALE,january march 2016
Dog,Too Many Animals,KANGAROO POINT,january march 2016
Dog,Too Many Animals,KANGAROO POINT,january march 2016
Attack,Attack On A Person,SALISBURY,january march 2016
Attack,Menacing,FITZGIBBON,january march 2016
Dog,Fencing Issues,WYNNUM,january march 2016
Attack,Attack On An Animal,BANYO,january march 2016
Dog,Fencing Issues,CARINA HEIGHTS,january march 2016
Dog,Too Many Animals,CHAPEL HILL,january march 2016
Dog,Fencing Issues,ASHGROVE,january march 2016
Dog,Fencing Issues,ACACIA RIDGE,january march 2016
Cat Trapping,Fox,UPPER BROOKFIELD,january march 2016
Attack,Menacing,MOUNT GRAVATT EAST,january march 2016
Cat,Fox,COORPAROO,january march 2016
Other Animal,Fox,BROOKFIELD,january march 2016
Other Animal,Fox,CARINA,january march 2016
Cat,Fox,BRIGHTON,january march 2016
Attack,Not An Attack,OXLEY,january march 2016
Attack,Dangerous,STRETTON,january march 2016
Other Animal,Nuisance Animal,AUCHENFLOWER,january march 2016
Dog,Fencing Issues,BRIGHTON,january march 2016
Cat Trapping,Fox,COOPERS PLAINS,january march 2016
Other Animal,Fox,BRIGHTON,january march 2016
Other Animal,Fox,PULLENVALE,january march 2016
Attack,Menacing,INALA,january march 2016
Attack,Not An Attack,CALAMVALE,january march 2016
Other Animal,Nuisance Animal,TINGALPA,january march 2016
Attack,Fox,KEPERRA,january march 2016
Cat,Fox,GAYTHORNE,january march 2016
Dog,Odour,ANNERLEY,january march 2016
Dog,Fencing Issues,TOOWONG,january march 2016
Dog,Fencing Issues,TOOWONG,january march 2016
Dog,Too Many Animals,FIG TREE POCKET,january march 2016
Dog,Fencing Issues,KARANA DOWNS,january march 2016
Other Animal,Deer,MOUNT OMMANEY,january march 2016
Other Animal,Fox,KARANA DOWNS,january march 2016
Attack,Attack On An Animal,DEAGON,january march 2016
Dog,Fencing Issues,INALA,january march 2016
Dog,Fencing Issues,INALA,january march 2016
Attack,Menacing,GAYTHORNE,january march 2016
Cat Trapping,Fox,MITCHELTON,january march 2016
Dog,Fencing Issues,CHERMSIDE,january march 2016
Other Animal,Nuisance Animal,MITCHELTON,january march 2016
Dog,Fencing Issues,NUNDAH,january march 2016
Dog,Fencing Issues,WILSTON,january march 2016
Dog,Fencing Issues,STAFFORD,january march 2016
Other Animal,Fox,MURARRIE,january march 2016
Attack,Not An Attack,CARINA,january march 2016
Dog,Fencing Issues,COORPAROO,january march 2016
Dog,Fencing Issues,STAFFORD,january march 2016
Cat,Fox,KEDRON,january march 2016
Other Animal,Fox,GUMDALE,january march 2016
Dog,Fencing Issues,MITCHELTON,january march 2016
Dog,Fencing Issues,ACACIA RIDGE,january march 2016
Attack,Not An Attack,RICHLANDS,january march 2016
Other Animal,Fox,MOGGILL,january march 2016
Attack,Attack On A Person,KEDRON,january march 2016
Attack,Attack On An Animal,BRACKEN RIDGE,january march 2016
Dog,Fencing Issues,BULIMBA,january march 2016
Other Animal,Odour,EAST BRISBANE,january march 2016
Dog,Unregistered,MITCHELTON,january march 2016
Dog,Fox,NORMAN PARK,january march 2016
Cat,Fox,STAFFORD HEIGHTS,january march 2016
Attack,Attack On A Person,KEPERRA,january march 2016
Other Animal,Nuisance Animal,ACACIA RIDGE,january march 2016
Dog,Fencing Issues,ASHGROVE,january march 2016
Other Animal,Nuisance Animal,AUCHENFLOWER,january march 2016
Cat Trapping,Fox,BOONDALL,january march 2016
Attack,Attack On An Animal,EIGHT MILE PLAINS,january march 2016
Dog,Surrender,CALAMVALE,january march 2016
Attack,Not An Attack,HOLLAND PARK WEST,january march 2016
Dog,Fencing Issues,CARINA,january march 2016
Other Animal,Nuisance Animal,HOLLAND PARK,january march 2016
Attack,Not An Attack,EIGHT MILE PLAINS,january march 2016
Attack,Not An Attack,MITCHELTON,january march 2016
Dog,Fencing Issues,BALD HILLS,january march 2016
Attack,Dangerous,TARRAGINDI,january march 2016
Attack,Attack On A Person,ACACIA RIDGE,january march 2016
Attack,Not An Attack,WEST END,january march 2016
Dog,Fencing Issues,BARDON,january march 2016
Cat,Fox,BRIDGEMAN DOWNS,january march 2016
Other Animal,Nuisance Animal,ACACIA RIDGE,january march 2016
Dog,Fencing Issues,INALA,january march 2016
Other Animal,Fox,BROOKFIELD,january march 2016
Other Animal,Fox,PALLARA,january march 2016
Dog,Fencing Issues,MANLY WEST,january march 2016
Other Animal,Odour,CARINA,january march 2016
Attack,Attack On An Animal,MITCHELTON,january march 2016
Attack,Attack On An Animal,CHAPEL HILL,january march 2016
Dog,Fencing Issues,WAVELL HEIGHTS,january march 2016
Other Animal,Nuisance Animal,FOREST LAKE,january march 2016
Attack,Dangerous,SALISBURY,january march 2016
